cdd,9641382,8769,130,203
cde,9745562,7501,39,74
cdf,9979514,8276,66,178
cdg,9888265,8501,326,514
cea,9548438,8891,19,71
ceb,9999502,8777,148,271
cec,9842890,9803,23,93
ced,9985528,9393,109,204
cee,9909818,7172,5,9
cef,9967309,7870,44,116
ceg,9695020,8977,101,174
cfa,9931473,9553,336,828
cfb,9958046,8933,18,30
cfc,9753502,7120,118,256
cfd,9956030,7998,232,506
cfe,9944907,7687,143,189
cff,9971915,8370,58,175
cfg,9989123,9420,194,324
cga,9859773,9745,52,102
cgb,9796867,9968,17,41
cgc,9861691,9118,96,140
cgd,9853933,9179,34,86
cge,9964271,9290,44,107
cgf,9940630,8080,347,573
cgg,9984584,10170,52,89
daa,9921178,8880,15,57
dab,9993183,8648,46,212
dac,9945010,9942,124,201
dad,9777589,9204,146,311
dae,9930189,9299,109,260
daf,9903324,8928,33,122
dag,9883158,8629,133,244
dba,9670186,9343,143,248
dbb,9986418,7517,128,199
dbc,9941441,9304,5,5
dbd,9934418,8655,152,292
dbe,9778066,9107,5,15
dbf,9820683,7800,156,300
dbg,9776965,9483,7,22
dca,9430519,9043,17,39
dcb,9928565,9344,6,16
dcc,9821003,8729,72,184
dcd,9747355,10732,96,210
dce,9975404,9500,107,163
dcf,9979292,6544,11,41
dcg,9977737,9537,180,305
dda,9750245,8720,225,395
ddb,9927726,8760,151,277
ddc,9982029,9191,121,281
ddd,9517407,8422,99,164
dde,9968518,9618,218,325
ddf,9819711,9503,170,253
ddg,9933998,9305,169,343
dea,9802591,10498,95,178
deb,9357336,9029,76,158
dec,9830767,9003,135,247
ded,9203120,9441,9,29
dee,9758455,11366,67,162
def,9693638,9354,154,331
deg,9743505,8827,191,329
dfa,9939020,7638,26,83
dfb,9967229,9195,130,205
dfc,9628420,9515,104,213
dfd,9955360,7815,258,356
dfe,9967632,7122,77,142
dff,9849072,9250,54,135
dfg,9839437,7985,60,90
dga,9973522,11395,93,152
dgb,9878954,9645,272,502
dgc,9894904,6092,235,412
dgd,9651832,8906,157,297
dge,9596656,11044,6,19
dgf,9625055,11135,64,113
dgg,9914349,10823,132,297
eaa,9850443,10134,38,73
eab,9967389,8653,146,303
eac,9625702,7519,87,203
ead,9942266,10545,5,7
eae,9971244,6941,81,143
eaf,9927598,8892,350,587
eag,9806087,9329,32,114
eba,9556687,9038,272,411
ebb,9835421,10528,28,93
ebc,9988842,8374,233,347
ebd,9900807,8975,74,165
ebe,9969539,8872,137,269
ebf,9477631,9588,38,130
ebg,9898073,9436,90,167
eca,9865293,8154,190,384
ecb,9806532,8721,89,179
ecc,9891123,8276,21,71
ecd,9913423,8921,111,225
ece,9825082,10158,100,188
ecf,9955883,9302,20,33
ecg,9841972,9014,281,436
eda,9897122,7755,226,324
edb,9991565,8155,34,69
edc,9874921,9136,83,198
edd,9651819,8349,40,156
ede,9839284,10248,20,102
edf,9985789,7943,13,39
edg,9872961,9141,92,230
eea,9833185,8459,63,166
eeb,9934879,9154,171,365
eec,9968763,9822,16,29
eed,9932496,8435,20,35
eee,9957120,10042,14,43
eef,9843963,8641,59,176
eeg,9633811,8498,190,322
efa,9948982,8056,5,11
efb,9970494,8300,146,363
efc,9979281,7852,136,287
efd,9604529,8549,64,217
efe,9617559,9650,82,160
eff,9993518,9020,5,16
efg,9987801,10089,44,83
ega,9867260,8907,9,27
egb,9955903,9405,13,34
egc,9911507,7256,41,83
egd,9799798,9724,186,516
ege,9992459,9049,133,303
egf,9390133,6821,78,167
egg,9828039,8539,6,24
faa,9947158,8886,167,238
fab,9891160,9734,203,392
fac,9746196,9751,258,359
fad,9985204,9630,336,589
fae,9983665,8637,14,28
faf,9999853,8377,170,284
fag,9964079,7679,77,157
fba,9879463,9253,40,107
fbb,9895791,9820,172,254
fbc,9646979,8538,68,189
fbd,9821041,7608,30,53
fbe,9963882,9843,122,298
fbf,9883080,7538,46,79
fbg,9869749,7620,28,70
fca,9646675,7396,50,111
fcb,9468888,9959,231,348
fcc,9973539,8425,182,285
fcd,9978526,9491,17,38
fce,9093728,8709,199,308
fcf,9932474,9151,45,83
fcg,9985089,9733,192,286
fda,9936844,7567,103,262
fdb,9774146,9562,218,418
fdc,9980148,9103,39,62
fdd,9606931,9101,191,371
fde,9876477,9514,108,194
fdf,9650470,8117,162,347
fdg,9781224,9190,41,115
fea,9923011,10057,60,99
feb,9972655,9046,5,9
fec,9980177,7802,123,201
fed,9949422,8644,36,72
fee,9934084,9344,248,355
fef,9935842,6962,214,333
feg,9774796,8847,324,537
ffa,9772024,8315,52,175
ffb,9738919,8246,70,140
ffc,9588729,8652,219,362
ffd,9820501,6632,83,124
ffe,9935703,8929,31,102
fff,9891623,9214,163,288
ffg,9924635,10369,168,261
fga,9926042,8709,40,119
fgb,9973369,8674,152,227
fgc,9967154,7838,148,272
fgd,9935738,8521,62,208
fge,9935498,7711,152,251
fgf,9992911,10348,229,340
fgg,9799148,8852,240,491
gaa,9825225,10807,128,220
gab,9989014,8966,63,183
gac,9873731,8348,382,596
gad,9951341,7606,28,71
gae,9466460,7799,201,327
gaf,9884316,9856,152,297
gag,9875986,8949,7,19
gba,9712747,9828,62,236
gbb,9718703,10064,135,278
gbc,9735108,8393,322,641
gbd,9987305,10849,65,151
gbe,9961377,8687,141,228
gbf,9902800,8353,486,859
gbg,9434129,6775,71,107
gca,9772089,7221,109,173
gcb,9994426,9015,492,1189
gcc,9918890,9305,186,291
gcd,9594717,10222,18,42
gce,9877196,9228,6,14
gcf,9671482,7898,77,165
gcg,9930639,8760,18,62
gda,9820600,8877,15,47
gdb,9880660,8159,81,188
gdc,9951862,8502,57,109
gdd,9780720,9600,80,223
gde,9973262,8283,336,464
gdf,9964172,9060,64,141
gdg,9930804,8521,232,351
gea,9529610,9006,906,1681
geb,9921088,8964,125,184
gec,9999334,8056,179,255
ged,9975212,8811,177,362
gee,9866377,9104,95,242
gef,9967294,9492,92,252
geg,9886645,7098,425,606
gfa,9882768,10621,113,158
gfb,9861584,9501,75,128
gfc,9537303,8377,152,244
gfd,9771788,9530,43,117
gfe,9853760,9124,40,72
gff,9741693,9248,177,434
gfg,9954282,10131,199,341
gga,9618246,8110,59,110
ggb,9985734,7748,587,892
ggc,9946691,9549,9,26
ggd,9681772,9555,357,552
gge,9982425,8539,219,360
ggf,9884489,7607,63,214
ggg,9883574,8928,14,50
